"name","type","start_x","start_y","end_x","end_y","direction","distance_class","width","height","dimensions_valid","marker_detected","marker_pixels","measured_x","measured_y","error_pixels","sha256"
"tap-001","tap","100","200","100","200","point","point","800","1280","True","True","4","99.5","199.5","0.707","b84e65adedc5f569732f184160cf7806cf76d22ec7867d9474a5d205eec2fb78"
"tap-002","tap","400","200","400","200","point","point","800","1280","True","True","4","399.5","199.5","0.707","7b90084f466842184a782e358b9a5908cdbae050a2792dd9538534076e02fce4"
"tap-003","tap","700","200","700","200","point","point","800","1280","True","True","4","699.5","199.5","0.707","6b4ccb3e285afd26126d3fd8690f44557995fa4242e9b9ef4c847e3bca04de71"
"tap-004","tap","100","600","100","600","point","point","800","1280","True","True","4","99.5","599.5","0.707","472f271a419772f5539694603e9cbcc82b5d1df11b5a315050951375b2738b42"
"tap-005","tap","400","600","400","600","point","point","800","1280","True","True","4","399.5","599.5","0.707","b72c17e9ce5084aae2061e7fdf0699fcca5122593ae5e8c2bb3b84bd46ecc357"
"tap-006","tap","700","600","700","600","point","point","800","1280","True","True","4","699.5","599.5","0.707","abeeb00b1bf16f1b72d6d927217e97fa3ef0d527f2782ef12c90929b67fbd8c9"
"tap-007","tap","100","1000","100","1000","point","point","800","1280","True","True","4","99.5","999.5","0.707","39917799616d0a738f22410fbe8c3783c4e55ceadb0ff94bfa248810c240fcbf"
"tap-008","tap","400","1000","400","1000","point","point","800","1280","True","True","4","399.5","999.5","0.707","03a2d5be4fee9fa7328daca297644d7bd4252e0bbdb48c585b5d7166ce985648"
"tap-009","tap","700","1000","700","1000","point","point","800","1280","True","True","4","699.5","999.5","0.707","190b3639510aee3ab6413c0fb6131a0368e3441b83494dc9ae2501eabf265ba3"
"swipe-001","swipe","200","250","200","650","down","long","800","1280","True","True","22","199.5","651.909","1.973","b830dbd0e2089e1444e2ea5a72e02efb1947c04dc9cda67b92e52159e7a86dc3"
"swipe-002","swipe","600","850","600","450","up","long","800","1280","True","True","20","599.5","447.1","2.943","d9fce60bb7b9e9c495b84025f075a48796155162f731457fefb1d88820cbff94"
"swipe-003","swipe","250","600","550","600","right","long","800","1280","True","True","22","551.455","599.5","1.538","8ac40e0fc50541e2c6ab09910336a9262d83c370ecb8eb520265b3127709de2c"
"swipe-004","swipe","550","850","250","850","left","long","800","1280","True","True","24","248.333","849.5","1.74","fc7c2b4108191b0ffa6358dfb527764641487466cf0e6b608f55b176712ee1de"
