"name","type","start_x","start_y","end_x","end_y","direction","distance_class","width","height","dimensions_valid","marker_detected","marker_pixels","measured_x","measured_y","error_pixels","sha256"
"tap-001","tap","100","200","100","200","point","point","800","1280","True","True","4","99.5","199.5","0.707","0cca8a8dd5eed966fccd7af4d295ec220e7941a3af99f8ae584fad8dd585b3f7"
"tap-002","tap","400","200","400","200","point","point","800","1280","True","True","4","399.5","199.5","0.707","bfe64be0ef30c5748e2857bae1217728927dd1228b4735a6bae8db3153bf8c31"
"tap-003","tap","700","200","700","200","point","point","800","1280","True","True","4","699.5","199.5","0.707","465a36bfde22dec3a47d647a238c6978c689a1551d07051ea81e33e98d77cbf4"
"tap-004","tap","100","600","100","600","point","point","800","1280","True","True","4","99.5","599.5","0.707","1b407625ac02831e6205dab2d5f5b73dd2b0a9e2f674da2127a04d8f4223cdc3"
"tap-005","tap","400","600","400","600","point","point","800","1280","True","True","4","399.5","599.5","0.707","4c9c9bc5d14b65e7357e5978cf279c860819daf42d6812de3cfa91d4057dd319"
"tap-006","tap","700","600","700","600","point","point","800","1280","True","True","4","699.5","599.5","0.707","f92f885d63790225584850ec17c1d0cc69a5dbd7af94b7293f74f3f3b10365b0"
"tap-007","tap","100","1000","100","1000","point","point","800","1280","True","True","4","99.5","999.5","0.707","c3fd3ae9cf8a580d0047557dd76225ad7b2cf56a1d17ba3f562a31833693a8ee"
"tap-008","tap","400","1000","400","1000","point","point","800","1280","True","True","4","399.5","999.5","0.707","555dc5608c1098604f51bbe520baa58a8e8b8efa4c2e6ec4930fdddadddae545"
"tap-009","tap","700","1000","700","1000","point","point","800","1280","True","True","4","699.5","999.5","0.707","0c03a2454b49666ff3fd245e43743e2f1b6e25a225b783443e69c623d8fcd443"
"swipe-001","swipe","200","250","200","650","down","long","800","1280","True","False","0",,,,"6e86e9b2c800e1b5ec32c05a5d756abcf1144004c6debb1015a66a0458269eb7"
"swipe-002","swipe","600","850","600","450","up","long","800","1280","True","False","0",,,,"04c5154ccd7b355d4063feb9eece0c97474e81999898055085a608cb51578519"
"swipe-003","swipe","250","600","550","600","right","long","800","1280","True","False","2","546","599.5","4.031","4177119bdf43cf035c63a58be6cbfd8b9b72f16c918f898e885d0d67e3355135"
"swipe-004","swipe","550","850","250","850","left","long","800","1280","True","True","2","251","849.5","1.118","7f0ecd99dda35c1853521c2137e1934e4ff7d393e8a7f1af3d9ca5262dcf89b2"
