"name","type","start_x","start_y","end_x","end_y","direction","distance_class","width","height","dimensions_valid","marker_detected","marker_pixels","measured_x","measured_y","error_pixels","sha256"
"tap-001","tap","100","200","100","200","point","point","800","1280","True","True","4","99.5","199.5","0.707","4832d1ad63a51ba8a460538c63642a55756a5ad2b0740a8685a09b156a609125"
"tap-002","tap","400","200","400","200","point","point","800","1280","True","True","4","399.5","199.5","0.707","1869694e7e647c5aa3ccdb31fed5cc6c4b34b9b46646e71070f68ed005e40950"
"tap-003","tap","700","200","700","200","point","point","800","1280","True","True","4","699.5","199.5","0.707","1201a1d46d26b00af81d694cab679075308e2d38992da3ab9177a0a2f3d80515"
"tap-004","tap","100","600","100","600","point","point","800","1280","True","True","4","99.5","599.5","0.707","b64cbd4165aefea201210588ee049b315112991e23b1b9cbe7713b0728619dc9"
"tap-005","tap","400","600","400","600","point","point","800","1280","True","True","4","399.5","599.5","0.707","8f271b95723ab101b6178fe01335a06b1ba4fa492b19e4fccdab89387e855122"
"tap-006","tap","700","600","700","600","point","point","800","1280","True","True","4","699.5","599.5","0.707","95f13b797313ed8b46267627d5fa46712e57f95cb151800861c087d511d3592e"
"tap-007","tap","100","1000","100","1000","point","point","800","1280","True","True","4","99.5","999.5","0.707","0c531416f14c2fb99e2183403e53bcad10f5e15a1791d6d9ee298750285d2bfc"
"tap-008","tap","400","1000","400","1000","point","point","800","1280","True","True","4","399.5","999.5","0.707","70555327efaf558d9ce79eacb39bf854da6bd9d408588a755161165446ad6bfe"
"tap-009","tap","700","1000","700","1000","point","point","800","1280","True","True","4","699.5","999.5","0.707","fbf7515fcd1bcabef7d4d6fc9a00891c26717b2430f0482366d7e5da87e3af85"
"swipe-001","swipe","200","250","200","650","down","long","800","1280","True","True","18","199.5","654","4.031","a19214b19c35108746df094bdb2419434ef8c204d484a543c7e7b47da38a2804"
"swipe-002","swipe","600","850","600","450","up","long","800","1280","True","True","18","599.5","446.889","3.151","d0ded46228d50ed3109a6f22152c8764c15e24fe5b82acad7a310672b9ad79d3"
"swipe-003","swipe","250","600","550","600","right","long","800","1280","True","True","20","551.5","599.5","1.581","a0089290e736d9220aa6c73b59d4c0eb6473aacc68a7b20d06c8cfaf55d55ed7"
"swipe-004","swipe","550","850","250","850","left","long","800","1280","True","True","24","248.5","849.5","1.581","19f6ee2e20d89ee9e2aff8561312aad422b35b05d52cb8011e39f93bc6da95b0"
