"hero_id","expected_name","displayed_name","ownership_state","source_list","found","troop_skill_count","skills_captured","complete","notes"
"509","Patty Potts","Patty Potts","owned","Hero","true","3","3","true","Found in the owned Hero roster after scrolling the full list; three non-Tactical skill rows captured."
"518","Zane Reeves","Zane Reeves","owned","Hero","true","3","3","true","Tactical Skill detail excluded per user direction; troop_skill_count counts non-Tactical rows."
"527","Mr. Crosshair","Mr. Crosshair","owned","Hero","true","3","3","true","Found in the owned Hero roster after scrolling the full list; three non-Tactical skill rows captured."
"556","Optimus Prime / Victor","Victor","unowned","Not Obtained","true","3","3","true","Tactical Skill detail excluded per user direction; troop_skill_count counts non-Tactical rows."
"557","BeepBoop No.7 / Don Don","Beepboop No.7","owned","Hero","true","3","3","true","Found in the owned Hero roster after scrolling the full list; three non-Tactical skill rows captured."
"558","Bumblebee / Morgan Strange","Morgan Strange","owned","Hero","true","3","3","true","Found in the owned Hero roster after scrolling the full list; three non-Tactical skill rows captured."
"559","Alexander","Alexander","unowned","Not Obtained","true","3","3","true","Tactical Skill detail excluded per user direction; troop_skill_count counts non-Tactical rows."
"560","Lilian","Lilian","unowned","Not Obtained","true","3","3","true","Tactical Skill detail excluded per user direction; troop_skill_count counts non-Tactical rows."
"561","Starscream / Kang Si-Yeon","Kang Si-yeon","unowned","Not Obtained","true","3","3","true","Tactical Skill detail excluded per user direction; troop_skill_count counts non-Tactical rows."
"562","Megatron / Grigory Voronov","Grigory Voronov","unowned","Not Obtained","true","3","3","true","Tactical Skill detail excluded per user direction; troop_skill_count counts non-Tactical rows."
"563","Kyra Rodriguez","Kyra Rodriguez","unowned","Not Obtained","true","3","3","true","Tactical Skill detail excluded per user direction; troop_skill_count counts non-Tactical rows."
"564","Chiyo Momiji","Chiyo Momiji","unowned","Not Obtained","true","3","3","true","Tactical Skill detail excluded per user direction; troop_skill_count counts non-Tactical rows."
"565","Arthur Montbatten","Arthur Montbatten","unowned","Not Obtained","true","3","3","true","Tactical Skill detail excluded per user direction; troop_skill_count counts non-Tactical rows."
"566","Luna","Luna","owned","Hero","true","3","3","true","Found in the owned Hero roster after scrolling the full list; three non-Tactical skill rows captured."
