hero_id,hero_name_expected,hero_name_displayed,ownership_state,skill_index,displayed_row_index,skill_name,skill_category,headline_effect_text,effect_target,effect_stat,passive,activation_text,base_star_tier,promoted_star_tier,base_+2,base_+3,base_+4,base_+5,base_+6,base_+7,base_+8,promoted_+2,promoted_+3,promoted_+4,promoted_+5,promoted_+6,promoted_+7,promoted_+8,screenshot_path
518,Zane Reeves,Zane Reeves,owned,1,2,Rider HP,Military,Rider HP +240%,Rider,HP,false,Takes effect when the hero joins rally battle.,6,7,63,93,123,192,240,360,600,null,null,null,240,300,450,750,screenshots/518_zane_reeves/skill_01.png
518,Zane Reeves,Zane Reeves,owned,2,3,Rider DEF,Military,Rider DEF +240%,Rider,DEF,false,Takes effect when the hero joins rally battle.,6,7,63,93,123,192,240,360,600,null,null,null,240,300,450,750,screenshots/518_zane_reeves/skill_02.png
518,Zane Reeves,Zane Reeves,owned,3,4,Rider ATK,Military,Rider ATK +240%,Rider,ATK,false,Takes effect when the hero joins rally battle.,6,7,63,93,123,192,240,360,600,null,null,null,240,300,450,750,screenshots/518_zane_reeves/skill_03.png
556,Optimus Prime / Victor,Victor,unowned,1,2,Troop HP (Passive),Economy,Troop HP +250%,Troop,HP,true,Own the hero to activate this effect.,6,7,21,31,41,64,82,120,200,null,null,null,80,102.5,150,250,screenshots/556_victor/skill_01.png
556,Optimus Prime / Victor,Victor,unowned,2,3,Troop DEF (passive),Economy,Troop DEF +250%,Troop,DEF,true,Own the hero to activate this effect.(Lv.3 required),6,7,21,31,41,64,82,120,200,null,null,null,80,102.5,150,250,screenshots/556_victor/skill_02.png
556,Optimus Prime / Victor,Victor,unowned,3,4,Troop ATK (passive),Economy,Troop ATK +250%,Troop,ATK,true,Own the hero to activate this effect.(Lv.13 required),6,7,21,31,41,64,82,120,200,null,null,null,80,102.5,150,250,screenshots/556_victor/skill_03.png
559,Alexander,Alexander,unowned,1,2,Troop HP (Passive),Economy,Troop HP +250%,Troop,HP,true,Own the hero to activate this effect.,6,7,21,31,41,64,82,120,200,null,null,null,80,102.5,150,250,screenshots/559_alexander/skill_01.png
559,Alexander,Alexander,unowned,2,3,Troop DEF (passive),Economy,Troop DEF +250%,Troop,DEF,true,Own the hero to activate this effect.(Lv.3 required),6,7,21,31,41,64,82,120,200,null,null,null,80,102.5,150,250,screenshots/559_alexander/skill_02.png
559,Alexander,Alexander,unowned,3,4,Troop ATK (passive),Economy,Troop ATK +250%,Troop,ATK,true,Own the hero to activate this effect.(Lv.13 required),6,7,21,31,41,64,82,120,200,null,null,null,80,102.5,150,250,screenshots/559_alexander/skill_03.png
560,Lilian,Lilian,unowned,1,2,Troop HP (Passive),Economy,Troop HP +250%,Troop,HP,true,Own the hero to activate this effect.,6,7,21,31,41,64,82,120,200,null,null,null,80,102.5,150,250,screenshots/560_lilian/skill_01.png
560,Lilian,Lilian,unowned,2,3,Troop DEF (passive),Economy,Troop DEF +250%,Troop,DEF,true,Own the hero to activate this effect.(Lv.3 required),6,7,21,31,41,64,82,120,200,null,null,null,80,102.5,150,250,screenshots/560_lilian/skill_02.png
560,Lilian,Lilian,unowned,3,4,Troop ATK (passive),Economy,Troop ATK +250%,Troop,ATK,true,Own the hero to activate this effect.(Lv.13 required),6,7,21,31,41,64,82,120,200,null,null,null,80,102.5,150,250,screenshots/560_lilian/skill_03.png
561,Starscream / Kang Si-Yeon,Kang Si-yeon,unowned,1,2,Troop HP (Passive),Economy,Troop HP +250%,Troop,HP,true,Own the hero to activate this effect.,6,7,21,31,41,64,82,120,200,null,null,null,80,102.5,150,250,screenshots/561_kang_si_yeon/skill_01.png
561,Starscream / Kang Si-Yeon,Kang Si-yeon,unowned,2,3,Troop DEF (passive),Economy,Troop DEF +250%,Troop,DEF,true,Own the hero to activate this effect.(Lv.3 required),6,7,21,31,41,64,82,120,200,null,null,null,80,102.5,150,250,screenshots/561_kang_si_yeon/skill_02.png
561,Starscream / Kang Si-Yeon,Kang Si-yeon,unowned,3,4,Troop ATK (passive),Economy,Troop ATK +250%,Troop,ATK,true,Own the hero to activate this effect.(Lv.13 required),6,7,21,31,41,64,82,120,200,null,null,null,80,102.5,150,250,screenshots/561_kang_si_yeon/skill_03.png
562,Megatron / Grigory Voronov,Grigory Voronov,unowned,1,2,Troop HP (Passive),Economy,Troop HP +250%,Troop,HP,true,Own the hero to activate this effect.,6,7,21,31,41,64,82,120,200,null,null,null,80,102.5,150,250,screenshots/562_grigory_voronov/skill_01.png
562,Megatron / Grigory Voronov,Grigory Voronov,unowned,2,3,Troop DEF (passive),Economy,Troop DEF +250%,Troop,DEF,true,Own the hero to activate this effect.(Lv.3 required),6,7,21,31,41,64,82,120,200,null,null,null,80,102.5,150,250,screenshots/562_grigory_voronov/skill_02.png
562,Megatron / Grigory Voronov,Grigory Voronov,unowned,3,4,Troop ATK (passive),Economy,Troop ATK +250%,Troop,ATK,true,Own the hero to activate this effect.(Lv.13 required),6,7,21,31,41,64,82,120,200,null,null,null,80,102.5,150,250,screenshots/562_grigory_voronov/skill_03.png
563,Kyra Rodriguez,Kyra Rodriguez,unowned,1,2,Fighter HP,Military,Fighter HP +750%,Fighter,HP,false,Takes effect when the hero joins rally battle.,6,7,68,103,143,212,280,400,600,null,null,null,280,350,500,750,screenshots/563_kyra_rodriguez/skill_01.png
563,Kyra Rodriguez,Kyra Rodriguez,unowned,2,3,Fighter DEF,Military,Fighter DEF +750%,Fighter,DEF,false,Takes effect when the hero joins rally battle.(Lv.3 required),6,7,68,103,143,212,280,400,600,null,null,null,280,350,500,750,screenshots/563_kyra_rodriguez/skill_02.png
563,Kyra Rodriguez,Kyra Rodriguez,unowned,3,4,Fighter ATK,Military,Fighter ATK +750%,Fighter,ATK,false,Takes effect when the hero joins rally battle.(Lv.13 required),6,7,68,103,143,212,280,400,600,null,null,null,280,350,500,750,screenshots/563_kyra_rodriguez/skill_03.png
564,Chiyo Momiji,Chiyo Momiji,unowned,1,2,Shooter HP,Military,Shooter HP +750%,Shooter,HP,false,Takes effect when the hero joins rally battle.,6,7,68,103,143,212,280,400,600,null,null,null,280,350,500,750,screenshots/564_chiyo_momiji/skill_01.png
564,Chiyo Momiji,Chiyo Momiji,unowned,2,3,Shooter DEF,Military,Shooter DEF +750%,Shooter,DEF,false,Takes effect when the hero joins rally battle.(Lv.3 required),6,7,68,103,143,212,280,400,600,null,null,null,280,350,500,750,screenshots/564_chiyo_momiji/skill_02.png
564,Chiyo Momiji,Chiyo Momiji,unowned,3,4,Shooter ATK,Military,Shooter ATK +750%,Shooter,ATK,false,Takes effect when the hero joins rally battle.(Lv.13 required),6,7,68,103,143,212,280,400,600,null,null,null,280,350,500,750,screenshots/564_chiyo_momiji/skill_03.png
565,Arthur Montbatten,Arthur Montbatten,unowned,1,2,Rider HP,Military,Rider HP +750%,Rider,HP,false,Takes effect when the hero joins rally battle.,6,7,68,103,143,212,280,400,600,null,null,null,280,350,500,750,screenshots/565_arthur_montbatten/skill_01.png
565,Arthur Montbatten,Arthur Montbatten,unowned,2,3,Rider DEF,Military,Rider DEF +750%,Rider,DEF,false,Takes effect when the hero joins rally battle.(Lv.3 required),6,7,68,103,143,212,280,400,600,null,null,null,280,350,500,750,screenshots/565_arthur_montbatten/skill_02.png
565,Arthur Montbatten,Arthur Montbatten,unowned,3,4,Rider ATK,Military,Rider ATK +750%,Rider,ATK,false,Takes effect when the hero joins rally battle.(Lv.13 required),6,7,68,103,143,212,280,400,600,null,null,null,280,350,500,750,screenshots/565_arthur_montbatten/skill_03.png
